record_id,phytoplasma,host_group,country,reference,family,species
54,16SrXII ,insect,England,Posnette & Ellenberger 1963,Cicadellidae,Thamnotettix dilutior
55,16SrXII A,insect,Italy,Carraro et al 2008,Cicadellidae,Thamnotettix dilutior
56,16SrV D,insect,Italy,Bressan et al 2006,Cicadellidae,Euscelidius variegatus
57,16SrI C,insect,France,Giannotti 1969,Cicadellidae,Euscelidius variegatus
58,16SrI ,insect,United States,Severin 1947b,Cicadellidae,Euscelidius variegatus
59,16SrIII A,insect,United States,Jensen 1969,Cicadellidae,Euscelidius variegatus
60,16SrV C,insect,France,Lherminier et al 1989,Cicadellidae,Euscelidius variegatus
61,16SrI B,insect,Italy,Alma et al 2001,Cicadellidae,Euscelidius variegatus
62,16SrI B,insect,Italy,Palermo et al 2001,Cicadellidae,Euscelidius variegatus
63,16SrV D,insect,France,Bressan et al 2006,Cicadellidae,Euscelis incisa
64,not characterized ,insect,Czech Republic,Brcak 1979,Cicadellidae,Euscelis incisa
65,16SrXII A,insect,Czech Republic,Brcak 1979,Cicadellidae,Euscelis incisa
66,16SrVI ,insect,England,Posnette & Ellenberger 1963,Cicadellidae,Euscelis incisa
67,16SrI B,insect,Italy,Alma et al 2001,Cicadellidae,Euscelis incisa
68,16SrI C,insect,Italy,Savio & Conti 1983,Cicadellidae,Euscelis lineolata
69,16SrI C,insect,England,Frazier & Posnette 1956,Cicadellidae,Euscelis lineolata
70,16SrI C,insect,Marche,Landi et al 2013,Cicadellidae,Euscelis lineolata
71,16SrI B,insect,Marche,Landi et al 2013,Cicadellidae,Euscelis lineolata
72,16SrXII A,insect,Marche,Landi et al 2013,Cicadellidae,Euscelis lineolata
73,16SrIX ,insect,Israel,Weintraub et al 2004,Cicadellidae,Exitianus capicola
74,not characterized ,insect,Israel,Weintraub et al 2004,Cicadellidae,Exitianus capicola
75,16SrXI A,insect,Eastern Asia,Chancellor & Cook 1995,Cicadellidae,Nephotettix cincticeps
76,16SrXI A,insect,Eastern Asia,Chancellor & Cook 1995,Cicadellidae,Nephotettix virescens
77,tested negative,insect,Spain,Lavina et al 2006,Cicadellidae,Ulopa sp.
78,tested negative,insect,Spain,Lavina et al 2006,Cicadellidae,Eupelix cuspidata
79,tested negative,insect,Spain,Lavina et al 2006,Tettigometridae,Tettigometra sp.
80,16SrXII A,insect,Spain,Lavina et al 2006,Aphrophoridae,Philaenus sp.
81,tested negative,insect,Spain,Lavina et al 2006,Cicadellidae,Mocydia crocea
82,16SrXII A,insect,Spain,Lavina et al 2006,Issidae,Issus sp.
83,tested negative,insect,Spain,Lavina et al 2006,Cicadellidae,Graphocraerus ventralis
84,16SrXII A,insect,Spain,Lavina et al 2006,Cicadellidae,Empoasca sp.
85,16SrXII A,insect,Spain,Lavina et al 2006,Cicadellidae,Aphrodes bicinctus
86,16SrXII A,insect,Spain,Lavina et al 2006,Cicadellidae,Anaceratagallia laevis
87,16SrXII A,insect,Spain,Lavina et al 2006,Cicadellidae,Adarrus taurus
88,tested negative,insect,Spain,Lavina et al 2006,Cicadellidae,Cicadula lineatopunctata
89,16SrI A,insect,Jamaica,Dabek 1982,Cicadellidae,Planicephalus flavicosta
90,tested negative,insect,India,Singh et al 2002,Cicadellidae,Cofana spectra
91,tested negative,insect,India,Singh et al 2002,Cicadellidae,Macrosteles fascifrons
92,tested negative,insect,India,Singh et al 2002,Cicadellidae,Nephotettix nigropictus
93,tested negative,insect,India,Singh et al 2002,Cicadellidae,Nephotettix virescens
94,tested negative,insect,India,Singh et al 2002,Delphacidae,Nilaparvata lugens
95,tested negative,insect,India,Singh et al 2002,Delphacidae,Perkinsiella saccharacida
96,tested negative,insect,India,Singh et al 2002,Derbidae,Proutista moesta
97,tested negative,insect,India,Singh et al 2002,Delphacidae,Sogatella furcifera
98,tested negative,insect,India,Singh et al 2002,Cicadellidae,Exitianus 
99,16SrXI B,insect,India,Singh et al 2002,Cicadellidae,Deltocephalus vulgaris
100,16SrI ,insect,United States,Chiykowski 1963,Cicadellidae,Endria inimicus
101,16SrI ,insect,United States,Nault 1980,Cicadellidae,Graminella nigrifrons
102,16SrXI B,insect,Thailand,Hanbonsoong et al 2006,Cicadellidae,Matsumuratettix hiroglyphicus
